City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
254,El Monte,US,34.0686,-118.0276,73.13,29,0,4.45,clear sky
255,Gayny,RU,60.3071,54.3241,15.21,92,100,5.86,overcast clouds
256,Nikolskoye,RU,59.7035,30.7861,35.87,97,100,6.98,light snow
257,Bengkulu,ID,-3.8004,102.2655,81.64,70,99,10.8,overcast clouds
258,Kutum,SD,14.2,24.6667,46.69,33,21,8.72,few clouds
259,Broome,US,42.2506,-75.833,23.9,68,0,1.01,clear sky
260,Comodoro Rivadavia,AR,-45.8667,-67.5,62.46,59,0,2.3,clear sky
261,Bethel,US,41.3712,-73.414,27.52,81,40,0.0,scattered clouds
262,Pevek,RU,69.7008,170.3133,-23.37,98,27,0.92,scattered clouds
263,Gonbad-E Qabus,IR,37.25,55.1672,34.75,86,0,0.0,clear sky
264,Dunedin,NZ,-45.8742,170.5036,62.8,67,85,5.99,overcast clouds
265,Matamoros,MX,25.5333,-103.25,60.12,46,76,4.25,broken clouds
266,Newcastle,AU,-32.9272,151.7765,76.98,61,40,8.99,scattered clouds
267,Hovd,MN,48.0056,91.6419,-9.71,72,10,0.69,clear sky
268,Port Keats,AU,-14.25,129.55,87.84,64,64,6.49,broken clouds
269,Nuevitas,CU,21.5453,-77.2644,72.84,67,0,9.4,clear sky
270,Paamiut,GL,61.994,-49.6678,10.49,78,100,27.0,light snow
271,Taoudenni,ML,22.6783,-3.9836,64.72,14,7,10.18,clear sky
272,Nizhniy Odes,RU,63.6445,54.856,12.63,90,100,9.51,overcast clouds
273,Geraldton,AU,-28.7667,114.6,75.61,35,40,18.41,scattered clouds
274,Seymchan,RU,62.8833,152.4333,-26.68,92,32,1.52,scattered clouds
275,Simbahan,PH,6.3032,120.5836,81.82,74,99,6.96,overcast clouds
276,Talnakh,RU,69.4865,88.3972,-28.16,98,56,0.69,broken clouds
277,Basco,PH,20.4487,121.9702,73.33,75,100,26.82,overcast clouds
278,Ilhabela,BR,-23.7781,-45.3581,75.81,96,100,3.62,overcast clouds
279,Kang,BW,-23.6752,22.7876,67.53,60,38,7.11,scattered clouds
280,Kormilovka,RU,55.0026,74.1028,-4.25,88,35,7.87,scattered clouds
281,Luwuk,ID,-0.9516,122.7875,85.1,66,99,2.35,overcast clouds
282,Vila,PT,42.0304,-8.1588,38.32,80,48,5.37,scattered clouds
283,Beitbridge,ZW,-22.2167,30.0,67.19,83,0,11.99,clear sky
284,Tromso,NO,69.6496,18.957,28.42,54,0,17.27,clear sky
285,Zheleznodorozhnyy,RU,55.7503,38.0042,28.62,94,100,8.39,overcast clouds
286,Samana,DO,19.2056,-69.3369,71.98,88,23,9.6,few clouds
287,San Ramon De La Nueva Oran,AR,-23.1322,-64.326,70.34,71,95,2.13,overcast clouds
288,Blagoyevo,RU,63.3667,47.9167,14.4,95,94,5.55,overcast clouds
289,Progreso,MX,21.2833,-89.6667,71.71,79,4,11.81,clear sky
290,Lagoa,PT,39.05,-27.9833,59.56,85,7,16.49,clear sky
291,San Cristobal,VE,7.7669,-72.225,69.98,89,46,1.23,scattered clouds
292,Juneau,US,58.3019,-134.4197,42.8,94,100,5.99,light rain
293,Yubari,JP,43.0378,141.9578,28.74,90,97,9.48,snow
294,Fort Nelson,CA,58.8053,-122.7002,18.99,100,40,3.44,scattered clouds
295,Lebu,CL,-37.6167,-73.65,59.22,92,3,15.41,clear sky
296,Yarmouth,US,41.7057,-70.2286,33.01,72,0,4.61,clear sky
297,Shediac,CA,46.2198,-64.5411,9.12,72,75,5.75,broken clouds
298,Eyl,SO,7.9803,49.8164,72.73,79,100,12.41,overcast clouds
299,Chapais,CA,49.7834,-74.8492,4.78,95,100,5.53,light snow
300,Homer,US,59.6425,-151.5483,30.09,86,75,10.36,broken clouds
301,Airai,TL,-8.9266,125.4092,75.2,61,29,2.35,scattered clouds
302,Rio Gallegos,AR,-51.6226,-69.2181,66.25,42,0,28.77,clear sky
303,Baltasi,RU,56.3462,50.2062,17.19,97,95,4.97,overcast clouds
304,Dubai,AE,25.2582,55.3047,67.93,52,40,10.36,scattered clouds
305,Taihe,CN,30.8712,105.3845,40.44,89,99,5.82,overcast clouds
306,Craig,US,40.5153,-107.5464,20.16,85,0,5.75,clear sky
307,Iqaluit,CA,63.7506,-68.5145,-38.31,65,0,2.3,clear sky
308,Aneho,TG,6.2333,1.6,79.0,87,74,7.0,broken clouds
309,Dong Hoi,VN,17.4833,106.6,72.63,81,100,4.18,overcast clouds
310,Maturin,VE,9.75,-63.1767,71.85,95,10,5.23,clear sky
311,Flin Flon,CA,54.7682,-101.865,3.45,95,100,8.25,overcast clouds
312,Pangody,RU,65.85,74.4859,-18.81,100,89,6.13,overcast clouds
313,Do Gonbadan,IR,30.3586,50.7981,35.69,93,0,0.0,clear sky
314,Markova,UA,48.6758,24.4138,35.22,84,100,4.7,overcast clouds
315,Plouzane,FR,48.3833,-4.6167,51.89,96,75,8.05,broken clouds
316,Nanortalik,GL,60.1432,-45.2371,17.42,62,100,46.19,overcast clouds
317,Samarinda,ID,-0.5,117.15,86.56,61,100,7.56,moderate rain
